2
49 198
2 1 5
3 1 30
4 2 10
5 3 24
5 1 100
6 1 26
6 5 99
7 4 5
7 2 64
8 5 15
8 6 99
8 1 58
9 1 21
9 7 91
10 9 27
10 6 96
10 7 97
11 2 12
12 10 10
12 9 91
13 7 45
13 12 88
13 8 93
13 2 77
14 5 50
15 12 21
15 13 95
16 12 34
17 7 20
17 11 55
17 13 88
18 10 36
18 17 74
19 11 17
20 19 40
20 7 97
20 5 90
20 10 69
21 17 11
21 14 66
21 10 53
21 11 59
21 9 76
21 12 61
22 13 49
22 7 68
22 5 90
22 11 95
22 10 79
22 8 89
23 18 20
23 7 79
23 20 56
24 22 41
24 14 53
25 15 27
25 22 53
25 6 100
25 14 99
25 17 70
25 20 89
26 17 19
26 11 61
27 19 14
27 20 63
27 4 72
28 23 48
28 7 93
29 19 37
29 10 82
29 14 73
29 8 83
29 5 79
30 29 30
30 11 65
30 5 87
30 18 63
30 9 97
31 25 38
31 13 83
31 30 98
31 29 95
31 14 81
31 1 99
31 20 90
31 3 65
32 26 15
32 27 62
32 6 59
32 8 95
32 1 93
32 9 56
33 23 32
33 26 79
33 4 95
33 6 60
33 9 95
33 15 72
34 29 20
34 8 88
34 15 85
34 4 60
34 28 52
34 6 61
34 13 74
35 28 46
35 32 55
36 32 13
36 33 80
36 20 72
36 10 58
36 34 62
37 27 6
37 11 78
37 17 52
37 13 74
37 10 77
37 29 93
37 35 63
38 35 36
38 30 70
38 24 63
38 29 71
38 10 66
38 11 67
38 33 55
39 35 42
39 37 91
39 14 75
39 22 67
39 24 99
40 34 43
40 32 69
40 20 97
40 5 82
40 1 59
41 39 16
41 11 84
41 6 67
42 32 18
42 23 54
42 17 84
42 29 54
42 18 84
42 21 54
43 35 22
43 29 66
43 27 77
43 17 68
43 19 52
43 31 80
43 21 78
44 40 14
44 9 89
44 18 81
44 12 68
44 13 74
44 20 84
44 16 52
45 44 25
45 10 74
45 2 81
45 25 95
45 38 58
45 14 70
45 42 89
46 38 38
46 37 95
46 40 78
46 25 62
46 43 59
46 41 56
46 26 86
46 21 63
46 4 86
46 24 70
47 37 19
47 33 84
47 39 54
47 3 100
47 8 72
47 24 99
47 22 91
48 39 23
48 38 86
48 40 66
48 45 89
48 21 97
48 17 68
49 41 45
49 19 68
49 29 59
49 9 100
49 5 64
49 8 86
49 42 58
49 24 85
49 20 73
50 200
2 1 23
3 2 34
4 2 6
5 1 2
6 1 30
7 1 48
7 3 70
8 3 47
8 5 71
8 7 63
8 4 68
9 8 40
9 5 64
10 6 22
10 8 85
11 8 36
11 2 99
12 3 25
13 10 43
14 8 27
14 12 61
14 13 73
15 14 18
15 3 76
16 11 17
17 12 41
17 9 88
17 2 76
18 15 31
18 11 75
18 17 89
18 6 68
18 9 77
19 12 11
19 5 63
20 18 5
20 5 67
20 10 77
20 4 80
20 12 98
21 15 19
21 11 68
21 1 64
21 3 95
22 16 21
22 3 56
22 14 54
22 12 69
22 10 59
23 18 6
24 17 22
24 19 57
24 2 73
25 24 9
25 13 94
26 16 24
26 7 62
26 4 69
26 20 66
27 26 19
27 14 94
27 18 63
27 12 77
27 15 55
28 24 19
28 5 71
28 1 86
28 26 57
28 4 59
28 17 91
28 23 70
28 21 89
28 19 83
29 28 7
29 5 70
29 24 88
29 2 68
29 17 80
30 23 46
30 12 96
31 30 15
31 17 62
31 3 74
31 8 87
31 2 92
31 15 56
32 25 14
32 19 66
32 13 90
32 12 70
32 26 100
32 6 100
33 28 31
33 31 89
34 25 4
34 18 66
34 29 74
35 27 21
35 15 68
35 9 53
35 18 95
35 2 64
35 16 67
35 14 94
36 35 32
36 31 75
36 20 63
37 29 44
37 16 79
37 23 93
37 21 64
37 32 75
37 9 87
37 15 68
38 34 47
38 18 99
38 37 61
38 4 73
39 31 17
39 7 80
39 14 64
39 6 76
39 5 65
40 31 39
40 18 66
40 9 85
40 32 58
40 23 68
40 21 100
40 16 63
40 17 68
40 36 59
40 3 56
40 26 72
40 15 67
41 36 24
41 38 60
41 11 89
41 31 82
42 41 18
42 8 54
42 30 54
42 21 74
42 37 62
43 37 18
43 5 73
43 2 58
43 1 53
43 23 62
43 14 65
43 29 88
44 40 16
44 25 55
44 33 98
44 12 65
44 23 76
44 17 88
45 44 13
45 23 60
45 3 79
45 5 76
45 38 97
45 30 95
45 10 96
45 25 100
45 37 76
45 19 67
46 45 48
46 23 100
46 12 97
46 13 52
46 37 66
46 30 53
46 8 72
46 36 98
46 29 63
47 41 33
47 6 86
47 2 71
47 25 55
47 13 81
47 7 83
47 9 67
47 12 79
48 40 24
48 47 53
48 18 59
48 10 63
48 28 64
49 40 45
49 13 95
49 17 85
49 26 91
49 44 75
49 42 83
49 33 100
50 41 33
50 22 86
50 43 72
50 20 93
